Pheno,Pop,Mean,SE
n3FA,EUR,0.5252,0.2176
n3FA/Total FA,EUR,4.3923,1.528
n6FA,EUR,4.4525,0.6758
n6FA/Total FA,EUR,37.9438,3.6022
n6:n3,EUR,9.808,4.2419
DHA,EUR,0.2336,0.082
DHA/Total FA,EUR,1.9965,0.6632
LA,EUR,3.4134,0.6773
LA/Total FA,EUR,28.9208,3.4018
PUFA,EUR,4.9777,0.7972
PUFA/Total FA,EUR,42.3362,3.7377
MUFA,EUR,2.8372,0.8192
MUFA/Total FA,EUR,23.5756,2.6783
PUFA:MUFA,EUR,1.8339,0.3466
n3FA,AFR,0.5718,0.2342
n3FA/Total FA,AFR,5.6138,1.9679
n6FA,AFR,4.0911,0.6341
n6FA/Total FA,AFR,40.7339,3.0378
n6:n3,AFR,8.1369,2.9912
DHA,AFR,0.2656,0.0897
DHA/Total FA,AFR,2.6417,0.8097
LA,AFR,2.9965,0.6304
LA/Total FA,AFR,29.6182,3.1852
PUFA,AFR,4.6629,0.7577
PUFA/Total FA,AFR,46.3477,3.0561
MUFA,AFR,2.1442,0.559
MUFA/Total FA,AFR,20.9689,2.0516
PUFA:MUFA,AFR,2.2425,0.3431
n3FA,CSA,0.4676,0.223
n3FA/Total FA,CSA,3.979,1.6191
n6FA,CSA,4.6233,0.8171
n6FA/Total FA,CSA,40.0381,3.9633
n6:n3,CSA,11.9886,6.7575
DHA,CSA,0.2036,0.082
DHA/Total FA,CSA,1.7823,0.6959
LA,CSA,3.6395,0.8556
LA/Total FA,CSA,31.272,4.1657
PUFA,CSA,5.0909,0.9066
PUFA/Total FA,CSA,44.017,3.7729
MUFA,CSA,2.7763,0.8115
MUFA/Total FA,CSA,23.4566,2.3475
PUFA:MUFA,CSA,1.9075,0.3253
n3FA,EAS,0.5447,0.2643
n3FA/Total FA,EAS,4.6494,1.8716
n6FA,EAS,4.5813,0.7066
n6FA/Total FA,EAS,39.8829,3.4487
n6:n3,EAS,10.2231,5.0997
DHA,EAS,0.2503,0.1035
DHA/Total FA,EAS,2.1781,0.7968
LA,EAS,3.6419,0.7297
LA/Total FA,EAS,31.5299,3.5624
PUFA,EAS,5.126,0.8395
PUFA/Total FA,EAS,44.5323,3.5056
MUFA,EAS,2.7046,0.7483
MUFA/Total FA,EAS,23.0235,2.4815
PUFA:MUFA,EAS,1.9692,0.3381